State,TaxRate
Alabama,4.00
Arizona,5.60
Arkansas,6.50
California,7.50
Colorado,2.90
Connecticut,6.35
Florida,6.00
Georgia,4.00
Hawaii,4.00
Idaho,6.00
Illinois,6.25
Indiana,7.00
Iowa,6.00
Kansas,6.15
Kentucky,6.00
Louisiana,4.00
Maine,5.50
Maryland,6.00
Massachusetts,6.25
Michigan,6.00
Minnesota,6.875
Mississippi,7.00
Missouri,4.225
Nebraska,5.50
Nevada,6.85
New Hampshire,0
New Jersey,7.00
New Mexico,5.125
New York,4.00
North Carolina,4.75
North Dakota,5.00
Ohio,5.75
Oklahoma,4.50
Pennsylvania,6.00
Rhode Island,7.00
South Carolina,6.00
South Dakota,4.00
Tennessee,7.00
Texas,6.25
Utah,5.95
Vermont,6.00
Virginia,5.30
Washington,6.50
West Virginia,6.00
Wisconsin,5.00
Wyoming,4.00
District of Columbia,5.75
